                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2369,                 1.7344,                 1.4445,                0.59106,                0.51929,                0.54995,                0.26499,                 1.8275,                 1.7995,                 1.9067,             0.00023654,             0.00023654,             0.00023654
                      2,                 1.2357,                 1.4423,                 1.4351,                0.57558,                0.48738,                0.49379,                0.21659,                 2.0926,                 2.1605,                 2.2079,             0.00045888,             0.00045888,             0.00045888
                      3,                 1.2343,                 1.4456,                 1.4385,                0.61228,                 0.4595,                 0.4729,                0.19524,                 2.1501,                 2.0717,                  2.158,             0.00066551,             0.00066551,             0.00066551
                      4,                 1.2193,                 1.3884,                 1.4194,                0.65362,                0.54288,                0.58064,                 0.2772,                 1.8635,                 1.8145,                 1.9218,             0.00064331,             0.00064331,             0.00064331
                      5,                 1.1678,                 1.2873,                 1.3814,                 0.7304,                0.54785,                0.59565,                0.28894,                 1.9339,                 1.5335,                 2.0066,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.1466,                 1.2094,                 1.3598,                  0.695,                0.58367,                0.60131,                0.29876,                 1.7587,                 1.4883,                 1.8564,             0.00061975,             0.00061975,             0.00061975
                      7,                 1.1077,                 1.1427,                 1.3325,                0.68863,                0.59879,                0.62696,                0.29582,                  1.904,                 1.3755,                 1.9648,             0.00059619,             0.00059619,             0.00059619
                      8,                 1.0821,                 1.0867,                 1.3166,                0.78383,                0.63701,                0.67474,                0.34858,                 1.7395,                  1.235,                  1.794,             0.00057263,             0.00057263,             0.00057263
                      9,                 1.0556,                 1.0404,                 1.3009,                0.77708,                0.63289,                0.68889,                0.37476,                 1.6412,                 1.1249,                 1.7213,             0.00054907,             0.00054907,             0.00054907
                     10,                   1.04,                0.99472,                 1.2839,                0.80761,                0.65452,                0.71771,                0.38886,                 1.6239,                 1.0902,                 1.6698,              0.0005255,              0.0005255,              0.0005255
                     11,                 1.0159,                 0.9588,                 1.2674,                0.78425,                0.63839,                0.69956,                0.36699,                  1.632,                 1.1736,                 1.7369,             0.00050194,             0.00050194,             0.00050194
                     12,                 0.9956,                0.91451,                 1.2548,                0.79758,                0.67851,                0.73655,                0.41008,                 1.5754,                 1.0078,                 1.6603,             0.00047838,             0.00047838,             0.00047838
                     13,                0.96783,                0.88147,                 1.2376,                0.84392,                0.68486,                0.74532,                  0.432,                 1.5317,                0.98868,                 1.6358,             0.00045482,             0.00045482,             0.00045482
                     14,                0.94402,                0.83537,                 1.2186,                0.80597,                0.70065,                0.73993,                0.42067,                 1.5117,                0.97168,                 1.5952,             0.00043126,             0.00043126,             0.00043126
                     15,                 0.9343,                 0.8053,                 1.2122,                0.85566,                0.69291,                0.76028,                0.45389,                 1.4047,                0.90443,                 1.5315,             0.00040769,             0.00040769,             0.00040769
                     16,                0.90756,                 0.7803,                 1.1984,                0.86607,                0.69347,                0.75937,                0.46218,                 1.4263,                 0.8996,                 1.5514,             0.00038413,             0.00038413,             0.00038413
                     17,                 0.8883,                0.75192,                  1.183,                0.85365,                0.71287,                0.77661,                0.46911,                 1.3793,                0.85779,                 1.5187,             0.00036057,             0.00036057,             0.00036057
                     18,                0.86995,                0.72047,                 1.1686,                 0.8864,                0.71126,                0.79436,                  0.482,                 1.3749,                0.80368,                 1.5152,             0.00033701,             0.00033701,             0.00033701
                     19,                0.85769,                0.71019,                 1.1644,                0.86812,                 0.7324,                0.79131,                0.48735,                 1.3731,                0.82795,                 1.5162,             0.00031345,             0.00031345,             0.00031345
                     20,                0.84536,                0.68464,                 1.1523,                0.87642,                0.72364,                0.79561,                0.49618,                 1.3479,                0.79167,                 1.5037,             0.00028988,             0.00028988,             0.00028988
                     21,                0.85553,                 0.6123,                 1.1575,                0.86428,                 0.7337,                0.79887,                0.50732,                 1.2728,                0.78946,                  1.459,             0.00026632,             0.00026632,             0.00026632
                     22,                0.82371,                0.57654,                 1.1405,                0.88482,                0.71755,                0.80237,                 0.5119,                  1.279,                0.78879,                 1.4676,             0.00024276,             0.00024276,             0.00024276
                     23,                0.80377,                0.54871,                 1.1226,                0.86601,                 0.7316,                0.80825,                0.51368,                 1.2856,                0.76003,                 1.4576,              0.0002192,              0.0002192,              0.0002192
                     24,                0.78745,                0.53507,                 1.1092,                0.90885,                0.75036,                0.82858,                0.53821,                   1.25,                0.70605,                 1.4342,             0.00019564,             0.00019564,             0.00019564
                     25,                 0.7557,                0.50581,                 1.0899,                0.87509,                0.75466,                 0.8192,                0.52855,                 1.2868,                 0.7271,                  1.467,             0.00017207,             0.00017207,             0.00017207
                     26,                0.73676,                0.48389,                 1.0765,                0.87385,                0.76204,                0.82811,                0.54469,                 1.2443,                0.69828,                 1.4434,             0.00014851,             0.00014851,             0.00014851
                     27,                0.71638,                0.46869,                 1.0668,                0.89512,                0.76918,                0.83076,                0.56077,                 1.1754,                0.65447,                 1.3729,             0.00012495,             0.00012495,             0.00012495
                     28,                0.69606,                0.45127,                  1.056,                0.90552,                0.75659,                0.83997,                0.55384,                 1.2189,                0.66386,                 1.4146,             0.00010139,             0.00010139,             0.00010139
                     29,                0.67688,                0.43912,                 1.0434,                0.90676,                0.76314,                0.83999,                0.55086,                 1.2369,                0.65518,                  1.437,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                 0.6557,                0.42113,                 1.0253,                0.92305,                0.76045,                 0.8412,                0.56308,                  1.193,                 0.6289,                 1.4146,             5.4264e-05,             5.4264e-05,             5.4264e-05
